Name,Price,Old Price,Discount
"Сырный продукт плавленый Омский ЗПС Дружба континентов, 70г",12.99,,
"Сырок творожный Свитлогорье с какао глазированный 26%, 50г",56.24,,
"Сыр плавленый Карат+ с луком для супа 45%, 90г",53.99,,
"Сыр творожный Hochland с зеленью 60%, 220г",189.99,,
"Сыр Брест-Литовск Классический нарезка 45%, 150г",169.99,,
"Сырок творожный Советские Традиции с ванилью глазированный 26%, 45г",49.99,,
"Сырок творожный Б.Ю.Александров Картошка глазированный в молочном шоколаде 20%, 50г",68.74,,
"Сыр Dolce Granto Пармезан тёртый 40%, 150г",229.99,329.9,30.0
"Сыр Радость Вкуса Топлёное молочко брусок 45%, 200г",174.99,229.99,24.0
"Сыр полутвёрдый Брест-Литовск Российский 50%, 200г",149.99,229.99,35.0
"Сырок творожный Свитлогорье с варёной сгущёнкой глазированный 26%, 45г",56.24,,
"Сыр плавленый Карат+ Дружба 45%, 400г",169.99,209.99,19.0
"Сырок Б.Ю.Александров с ванилью глазированный в тёмном шоколаде 26%, 50г",68.74,,
"Сыр творожный Almette Сливочный 60%, 150г",179.99,,
"Сырок творожный Б.Ю.Александров Суфле с ванилью в молочно-шоколадной глазури 15%, 40г",68.74,,
"Сыр Российский 50%, кг",549.9,659.99,17.0
"Сыр Зелёная Линия Лёгкий полутвердый тертый 30%, 200г",144.99,,
"Сыр мягкий Bonfesto Рикотта 40%, 250г",189.99,,
"Творог Савушкин Нежный мягкий 5%, 125г",34.99,43.99,20.0
"Творог Ростагроэкспорт 9%, 180г",69.99,95.99,27.0
"Творог Простоквашино Нежный мягкий 5%, 130г",39.99,53.99,26.0
"Творог Вкуснотеево 9%, 300г",119.99,144.99,17.0
"Творог Савушкин Нежный мягкий 0%, 125г",45.99,,
"Творог Искренне Ваш 9%, 180г",64.99,81.9,21.0
"Творог Село Зелёное обезжиренный 0%, 200г",119.99,,
"Творог Зелёная Линия Зёрнышко 5%, 300г",129.99,,
"Творог Зелёная Линия с манго 3.2%, 180г",84.99,95.9,11.0
"Творог Сарафаново обезжиренный 0%, 180г",59.99,,
"Творог Савушкин 101 зерно + сливки клубника 5%, 130г",77.99,,
"Творог Балтком классический 9%, 180г",83.9,,
"Творог Савушкин рассыпчатый 5%, 700г",259.99,309.99,16.0
"Творог Село Зелёное Традиция 5%, 200г",134.99,,
"Творог Дмитровский 9%, 180г",114.99,,
"Творог Простоквашино 9%, 180г",109.99,,
"Творог Вкуснотеево 9%, 750г",319.99,,
"Творог Савушкин 101 зерно + сливки малина 5%, 130г",77.99,,
"Творог Савушкин Хуторок 9%, 300г",159.99,,
"Творог Село Зелёное 5%, 500г",179.99,259.99,31.0
"Творог Свитлогорье мягкий 4%, 400г",159.99,,
"Творог Савушкин 101 зерно + сливки черника зернёный 5%, 130г",77.99,,
"Творог Простоквашино Нежный мягкий 0%, 130г",51.9,,
"Творог Карат+ зернёный домашний 4%, 350г",109.99,134.99,19.0
"Творог Савушкин 101 зерно + сливки зернёный 5%, 130г",69.99,,
"Творог Растишка клубника-банан и пломбир 3.5%, 6х45г",89.99,,
"Творог Простоквашино рассыпчатый 5%, 320г",154.99,,
"Творог Valio с вишней 3.5%, 140г",65.0,81.99,21.0
"Творог Балтком обезжиренный 1.8%, 180г",83.9,,
"Творог Зелёная Линия мягкий 4.5%, 120г",49.99,,
"Творог Карат+ зернёный домашний 4%, 200г",104.99,,
"Творог Вкуснотеево обезжиренный, 300г",119.99,154.9,23.0
"Творог Растишка клубника-банан с печеньем детский 3.5%, 108г",63.9,,
"Творог Искренне Ваш 9%, 500г",219.9,,
"Творог Valio с персиком мягкий 3.5%, 140г",65.0,81.99,21.0
"Творог Авида 5%, 300г",139.99,,
"Творог Зелёная Линия с инжиром, курагой и черносливом 3.2%, 180г",84.99,95.9,11.0
"Творог Вкуснотеево обезжиренный, 750г",239.99,289.99,17.0
"Творог Коровка из Кореновки 5%, 340г",189.99,,
"Творог Савушкин 101 зерно + сливки клюква 5%, 130г",77.99,,
"Творог Простоквашино традиционный 2%, 180г",95.99,,
"Творог Искренне Ваш с семенами льна 5%, 180г",75.9,,
"Творог Царка земляника со сливками 5%, 200г",95.99,,
"Творог Киржачский МЗ 9%, 450г",209.99,,
"Творог Cream Nuvo Professional 5%, 200г",99.9,,
"Творог Савушкин Хуторок классический 1%, 300г",149.99,,
"Творог Савушкин Хуторок рассыпчатый 0.5%, 350г",159.99,,
"Творог Савушкин 101 зерно + сливки персик-абрикос зернёный 5%, 130г",77.99,,
"Йогурт Зелёная Линия абрикос-миндаль-гранола с изюмом 2.7-3.5%, 215г",74.99,89.99,17.0
"Йогурт Зелёная Линия лесные ягоды-гранола с изюмом 2.7-3.5%, 215г",74.99,87.99,15.0
"Биойогурт BioMax классический 2.7%, 125г",29.99,,
"Йогурт Фругурт Персик 2.5%, 250г",44.99,,
"Йогурт питьевой Агуша Яблоко зеленое-Мелисса для детского питания с 8 месяцев 2.7%, 180г",49.9,,
"Йогурт Фругурт Вишня 2.5%, 250г",44.99,,
"Йогурт Чудо Десерт Хрустящее кокосовое искушение 3%, 105г",59.99,,
"Йогурт Царка земляника 3.5%, 400г",77.99,,
"Йогурт Зелёная Линия греческий двухслойный с медом и грецкими орехами 3%, 190г",89.99,,
"Йогурт Teos греческий натуральный 2%, 140г",39.99,47.9,17.0
"Йогурт Вкуснотеево питьевой клубника 1.5%, 750г",133.0,,
"Йогурт Вкуснотеево питьевой черника 1.5%, 750мл",133.0,,
"Йогурт фруктовый Чудо Вишня-Черешня 2.5%, 290г",79.99,,
"Биойогурт Верховье отруби-злаки 2.9%, 150г",44.99,,
"Йогурт Царка манго 3.5%, 400г",77.99,,
"Йогурт Зелёная Линия греческий натуральный 4%, 190г",85.99,,
"Йогурт Чудо Десерт хрустящий шоколадный соблазн 3%, 105г",59.99,,
"Йогурт Зелёная Линия греческий двухслойный малина 3%, 190г",93.99,,
"Йогурт Даниссимо Фантазия с хрустящими шоколадными шариками 6.9%, 105г",67.99,,
"Йогурт фруктовый Чудо Персик-Маракуйя 2.5%, 290г",79.99,,
"Мацони Ростагроэкспорт кисломолочный 3.2%, 300г",77.99,,
"Йогурт Teos греческий 2%, 250г",77.99,,
"Тан Ростагроэкспорт 0.5%, 1л",104.99,,
"Йогурт Савушкин Продукт Греческий Teos с наполнителем грецкий орех-мёд 2%, 250г",75.99,,
"Йогурт Epos густой с вишней 2.5%, 120г",27.99,,
"Йогурт питьевой Epos с клубникой обезжиренный, 250г",39.99,,
"Тан G-balance газированый 1%, 1л",69.99,85.9,19.0
"Йогурт Царка персик-маракуйя 3.5%, 400г",77.99,,
"Йогурт Даниссимо с хрустящими ягодными шариками 6.9%, 105г",67.99,,
"Йогурт Савушкин лесная ягода 2%, 120г",29.99,,
"Йогурт Valio вишня 2.6%, 180г",89.99,,
"Йогурт Киржачский МЗ из фермерского молока лесная ягода 2.8%, 450г",109.99,,
"Йогурт Царка вишня 3.5%, 400г",77.99,,
"Йогурт Чудо Десерт Хрустящий вафельный восторг 2.4%, 105г",59.99,,
"Йогурт Савушкин персик-манго 2%, 120г",29.99,,
"Тан Халамилк 1%, 500мл",57.99,,
"Йогурт питьевой Агуша для детского питания с 8 месяцев 3.1%, 180г",49.9,,
"Йогурт Valio персик 2.6%, 180г",93.99,,
"Йогурт Valio манго 2.6%, 180г",91.99,,
"Мацони Халамилк 3.5%, 500г",149.99,,
"Йогурт Царка черника 3.5%, 400г",77.99,,
"Йогурт питьевой Чудо Вишня-Черешня 2.4%, 270г",67.99,,
"Йогурт питьевой Чудо Персик-Манго-Дыня 2.4%, 270г",67.99,,
"Йогурт Lactica греческий натуральный 4%, 120г",57.99,,
"Йогурт Зелёная Линия лимон-имбирь-гранола с изюмом 2.7-3.5%, 215г",74.99,89.99,17.0
"Йогурт Teos греческий черника 2%, 140г",44.99,57.99,22.0
"Йогурт Зелёная Линия греческий двухслойный с инжиром и курагой 3%, 190г",89.99,,
"Биойогурт BioMax Персик 2.2%, 125г",29.99,,
"Сливки Пр!ст стерилизованные 10%, 195мл",31.99,,
"Сливки Campina для кофе 10%, 10х10г",59.99,,
"Сливки стерилизованные Домик в деревне 10%, 200мл",75.99,,
"Сливки стерилизованные Домик в деревне 10%, 480мл",149.99,,
"Сливки стерилизованные Домик в деревне 20%, 480мл",219.99,,
"Сливки стерилизованные Домик в деревне 20%, 200мл",134.99,,
"Сливки Сарафаново ультрапастеризованные 10%, 480мл",139.99,,
"Сливки Сарафаново ультрапастеризованные 20%, 480мл",189.99,,
"Крем President Сливки для соуса 23%, 500г",269.99,,
"Сливки стерилизованные Домик в деревне 10%, 750мл",229.99,,
"Сливки пастеризованные Домик в деревне 10%, 270мл",76.99,,
"Сливки Петмол для взбивания ультрапастеризованные 33%, 500мл",339.99,,
"Сливки Простоквашино ультрапастеризованные 20%, 350г",199.99,,
"Крем President Сливки для соуса 23%, 200г",114.99,,
"Сливки Parmalat стерилизованные 23%, 500г",249.99,,
"Сливки Parmalat стерилизованные 23%, 200мл",119.99,,
"Сливки Простоквашино ультрапастеризованные 10%, 350г",129.99,,
"Сливки Село Зелёное стерилизованные 10%, 500мл",114.99,144.99,21.0
"Сливки Valio для кофе 10%, 250мл",104.99,,
"Сливки питьевые Большая Кружка для чая и кофе ультрапастеризованные 10%, 500г",134.99,,
"Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 500г",159.99,,
"Сливки Parmalat стерилизованные 11%, 200мл",77.99,,
"Сливки Valio кулинарные 20%, 250мл",154.99,,
"Сливки Авида стерилизованные 10%, 200г",43.99,,
"Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 200г",91.99,,
"Сливки Простоквашино для взбивания ультрапастеризованные 33%, 350г",269.99,,
"Сливки Простоквашино ультрапастеризованные 10%, 200мл",93.99,,
"Сливки Петмол ультрапастеризованные 11%, 500мл",249.99,,
"Пастила Bonte Bakery ваниль-сливки, 220г",69.99,85.99,19.0
"Заменитель сухих сливок Mr. Сливкин, 200г",119.99,,
"Пастила Шармэль клубника-сливки, 221г",161.0,,
"Кофе Жокей ирландские сливки молотый, 150г",329.99,,
"Сливки сгущённые Волоконовское с сахаром 19%, 400г",209.99,,
"Конфеты Essen ДаЕжь карамель-сливки-криспи, кг",399.9,509.0,21.0
"Творог Савушкин 101 Зерно + сливки манго-маракуйя 5%, 130г",77.99,,
"Печенье-сэндвич Konti Супер-Контик marshmallow сливки, 288г",174.99,239.99,27.0
"Чай Ahmad Strawberry Cream черный клубника-сливки, 25х1.5г",169.99,,
"Печенье-сэндвич Konti Супер-Контик ваниль-сливки, 300г",249.99,,
"Пюре Растишка яблоко-банан-творог-сливки с 8 месяцев, 85г",59.99,,
"Напиток безалкогольный Натахтари Крем-сливки газированный, 500мл",109.99,,
"Галеты Демидовская Забава Нежные сливки, 600г",229.99,,
"Кефир Агуша 3.2% с 8 месяцев, 204г",39.9,,
"Кефир Домик в деревне 3.2%, 900мл",93.99,,
"Кефир Простоквашино 2.5%, 930г",79.99,93.9,15.0
"Кефир Домик в деревне 1%, 900мл",84.99,,
"Биопродукт Bio Баланс кефирный 1%, 930г",89.99,109.99,18.0
"Продукт кефирный BioMax 1%, 450мл",53.99,,
"Кефир Простоквашино 3.2%, 930г",104.99,,
"Коктейль Простоквашино кефирный обогащённый клубника обезжиренный, 900г",84.99,109.99,23.0
"Продукт кефирный BioMax 2.5%, 950мл",99.99,,
"Кефир Эконива 3.2%, 1кг",89.99,119.99,25.0
"Кефир Экомилк 3.2%, 900мл",99.99,,
"Кефир Залесский Фермер Фермерская 3.2%, 500г",65.99,,
"Кефир Авида 1%, 900г",64.99,81.9,21.0
"Кефир Асеньевская Ферма 3.2%, 900г",89.99,114.99,22.0
"Биопродукт Bio Баланс кефирный обогащённый 1%, 270г",41.99,,
"Кефир Авида 3.2%, 900г",89.99,,
