Name,Price,Old Price,Discount
"Жевательная резинка Dirol Тутти Фрутти без сахара пластинки, 13.5г",39.99,,
"Жевательная резинка Orbit Тропическое манго без сахара, 13.6г",51.99,,
"Бисквит Б.Ю.Александров бельгийский шоколад-грецкий орех-карамель, 40г",79.99,,
"Батончик шоколадный Mars Max с нугой и карамелью в молочном шоколаде, 81г",77.99,,
"Батончик злаковый Corny Big шоколад-банан, 50г",81.99,,
"Батончик шоколадный Mars, 50г",49.99,,
"Батончик шоколадный Mars нуга карамель покрыт молочным шоколадом, 162г",99.99,169.99,41.0
"Батончик злаковый Corny Big черника, 40г",71.99,,
"Батончик злаковый Corny Big лесной орех, 50г",73.99,,
"Батончик Corny Milk мёд, 30г",77.99,,
"Батончик злаковый Corny кокос-молочный шоколад, 50г",81.99,,
"Батончик шоколадный Snickers Криспер, 60г",59.99,,
"Батончик шоколадный Бабаевский с помадно-сливочной начинкой, 50г",67.99,,
"Батончик шоколадный Snickers Криспер с жареным арахисом рисовыми шариками и карамелью, 160г",99.99,144.99,31.0
"Конфеты Рот Фронт Батончики, 250г",189.99,,
"Батончики Mars Minis шоколадные с нугой-карамелью, 182г",199.99,,
"Вафельный батончик Kinder Bueno, 43г",85.99,,
"Батончик злаковый Corny Zero Шоколад без сахара, 20г",39.99,59.9,33.0
"Батончик Bombbar Малиновый чизкейк неглазированный, 60г",100.0,164.99,39.0
"Батончик Bombbar Тирамису неглазированный, 60г",149.99,,
"Батончик злаковый Corny Zero белый шоколад без сахара, 20г",39.99,59.9,33.0
"Батончик Bombbar шоколад-фундук неглазированный, 60г",100.0,169.99,41.0
"Батончик злаковый Corny Zero Лесной Орех без сахара, 20г",39.99,59.9,33.0
"Батончик-мюсли #ПП манго в йогуртовой глазури, 30г",41.99,,
"Батончик-мюсли #ПП дыня в йогуртовой глазури, 30г",43.99,,
"Батончик злаковый Corny с клубникой, 40г",87.99,,
"Шоколадный батончик Mars Minis с нугой-карамелью, кг",599.9,999.99,40.0
"Нуга глазированная Б.Ю.Александров молочный шоколад-фундук 35%, 40г",73.74,,
"Батончик протеиновый Protein Rex Gym со вкусом малины-йогурта, 60г",139.99,,
"Батончик-мюсли #ПП личи в йогуртовой глазури, 30г",45.99,,
"Батончик протеиновый Protein Rex Gym со вкусом кокоса, 60г",119.99,139.99,14.0
"Батончик Smartbar Protein, 40г",65.99,,
"Батончик Chikalab глазированный с начинкой фисташковый крем, 60г",189.99,,
"Батончик Chikalab глазированный с начинкой кокос, 60г",169.99,,
"Батончики Snickers Minis шоколадные, 180г",209.99,,
"Батончик Bombbar Малиновый сорбет глазированный, 40г",85.99,,
"Батончик Chikalab глазированный с начинкой тирамису, 60г",169.99,,
"Конфеты Рот Фронт батончики, кг",699.99,,
"Батончик злаковый Corny белый шоколад, 40г",81.99,,
"Конфеты Рот Фронт батончики с шоколадно-сливочным вкусом, 250г",189.99,,
"Батончик Racionika Иммуно малина, 30г",39.9,51.99,23.0
"Батончик фруктовый Агуша Яблоко,банан, 15г",45.99,,
"Конфеты Zentis Марципановая картошка со вкусом зимнего пунша, 100г",199.99,,
"Батончик протеиновый Proteinrex Ореховый миндаль-кокос, 40г",114.99,,
"Батончик Nutella вафельный с начинкой из ореховой пасты, 22г",55.99,,
"Шоколадный батончик Snickers Minis с арахисом-нугой, кг",599.9,899.99,33.0
"Батончик Bombbar клубника мюсли, 45г",39.99,59.9,33.0
"Батончик орехово-фруктовый R.A.W. Life макадамия, 47г",164.99,,
"Конфеты Рот Фронт Батончики шоколадно-сливочные, кг",699.99,,
"Мини-сушки Пр!ст простые, 350г",65.99,,
"Мини-сушки Пр!ст с маком, 350г",65.99,,
"Сушки Семейка Озби Кроха простые, 200г",47.99,,
"Мини-сушки Семейка Озби с маком, 150г",51.99,,
"Тараллини Nina Farina с томатом и ароматными травами, 180г",59.99,,
"Мини-сушки Волжский Пекарь с солью, 180г",45.99,,
"Тараллини Nina Farina с чесноком, 180г",61.99,,
"Сушки Семейка Озби ванильные, 200г",53.99,,
"Сушки Невская Сушка маковые, 275г",77.99,,
"Сушки Волжский Пекарь простые, 300г",59.99,,
"Мини-сушки Семейка Озби с ванилью, 150г",59.99,,
"Мини-сушки Волжский Пекарь со вкусом лука и сметаны, 180г",45.99,,
"Тараллини Nina Farina классические, 180г",59.99,,
"Сушка-мини Невская Сушка оригинальная с солодом, 200г",73.99,,
"Сушки Волжский Пекарь горчичные, 300г",63.99,,
"Крендели Saltletts Классические с солью, 150г",85.99,,
"Мини-сушки Волжский Пекарь Смаковница простые, 180г",49.99,,
"Мини-сушки Семейка Озби глазированные, 150г",93.99,,
"Кусочки брецеля BiTs со вкусом сырного соуса, 65г",91.99,,
"Сушки Зелёная Линия Ладожский малышок простые, 300г",57.99,,
"Мини-крендели Lorenz Saltletts классические с солью, 60г",29.99,,
"Сушки Зелёная Линия Ладожский малышок с маком, 300г",85.99,,
"Баранки Семейка Озби с ванилью, 300г",69.99,,
"Баранки Пр!ст сахарные с маком из пшеничной муки высшего сорта, 350г",59.99,,
"Баранки Пр!ст сдобные из пшеничной муки высшего сорта, 350г",59.99,,
"Баранки Волжский Пекарь ванильные, 350г",63.99,,
"Баранки Волжский Пекарь Волжские горчичные, 500г",109.99,,
"Баранки Каравай Оригинальные с маком, 300г",83.99,,
"Крендели Poppies Crakini, 300г",239.99,,
"Сушки Ого! мини на фруктозе, 175г",55.99,,
Сушка для обуви Тимсон противогрибковая ультрафиолетовая,1249.0,,
"Сушки итальянские Fleur Alpine Таралли на оливковом масле первого холодного отжима для всей семьи, 125г",259.99,,
"Мини-сушки Озби простые, 700г",469.0,,
"Кусочки брецеля BiTs перец чили и чеснок, 65г",104.9,,
"Сушки итальянские Fleur Alpine Таралли с фенхелем на оливковом масле первого холодного отжима для всей семьи, 125г",259.99,,
"Мука Makfa высшего сорта, 2кг",119.99,,
"Мука Старооскольская пшеничная хлебопекарная высшего сорта, 2кг",89.99,109.9,18.0
"Мука Makfa пшеничная высшего сорта, 1кг",85.99,,
"Мука Бело-Нежная пшеничная высшего сорта, 2кг",134.99,,
"Мука Маркет Перекрёсток пшеничная хлебопекарная высшего сорта, 1кг",64.99,,
"Мука Пшеничная, 2кг",68.9,,
"Мука Рязаночка ржаная хлебопекарная обдирная, 1кг",61.99,,
"Мука С.Пудовъ ржаная цельнозерновая хлебопекарная обойная, 1кг",79.99,109.9,27.0
"Мука Пышечка блинная, 1кг",77.99,,
"Мука Французская Штучка пшеничная сорт экстра, 2кг",119.99,149.99,20.0
"Мука Рязаночка пшеничная из цельносмолотого зерна, 1кг",73.99,,
"Мука Рязаночка пшеничная хлебопекарная высшего сорта, 2кг",124.99,,
"Мука С.Пудовъ Кондитерская пшеничная самоподнимающаяся высшего сорта, 1кг",79.99,,
"Мука Пышечка пшеничная хлебопекарная высшего сорта, 2кг",119.99,,
"Мука Пышечка пшеничная высшего сорта, 1кг",87.99,,
"Мука С.Пудовъ блинная классическая, 1кг",91.99,,
"Мука Мелькомбинат пшеничная хлебопекарная сорт экстра, 2кг",69.99,99.99,30.0
"Мука Французская Штучка пшеничная обойная, 2кг",144.99,,
"Мука С.Пудовъ пшеничная цельнозерновая самоподнимающаяся, 1кг",104.99,,
"Мука Скайфуд пшеничная хлебопекарная экстра, 2кг",129.99,,
"Мука Garnec полбяная цельнозерновая, 500г",139.99,,
"Мука Garnec овсяная, 500г",89.99,,
"Мука Garnec универсальная без глютена, 600г",184.9,,
"Мука Garnec нутовая, 500г",129.99,,
"Мука Оргтиум кокосовая, 250г",269.99,,
"Мука Рязаночка пшеничная, 1.9кг",149.99,,
"Мука Borges миндальная, 125г",429.99,,
"Мука Оргтиум миндальная, 250г",599.99,,
"Мука Вегана полуобезжиреная льняная, 350г",89.99,,
"Мука Garnec кукурузная, 500г",109.99,,
"Мука Garnec рисовая без глютена, 500г",128.9,,
"Мука Garnec рисовая без глютена, 500г",97.99,,
"Мука Garnec гречневая, 500г",135.9,,
"Мука Garnec рисовая цельнозерновая без глютена, 500г",127.9,,
"Мука Vita Brown кокосовая, 250г",309.99,,
"Смесь для выпечки Garnec Бородинский хлеб без глютена, 600г",217.9,,
"Мука Garnec с разрыхлителем без глютена, 600г",234.9,,
"Мука Garnec из чёрного риса без глютена, 500г",249.99,,
"Мука Garnec гречневая цельнозерновая без глютена, 500г",179.99,,
"Мука панировочная Sen Soy Tempura японская, 150г",279.99,,
"Сахар белый песок, 1кг",69.9,,
"Сахар Советский Экстра, 1кг",99.99,,
"Сахар Русский рафинад прессованный, 500г",67.99,,
"Сахар Русский Сахар белый кусковой категории экстра, 1кг",109.99,,
"Сахар Русский белый прессованный кусковой, 1кг",104.9,,
"Пудра сахарная Haas, 250г",61.99,,
"Пудра сахарная Dr.Oetker со вкусом ванили, 80г",53.99,,
"Пудра сахарная Haas нетающая, 80г",41.99,,
"Сахар Bionova кокосовый, 200г",459.99,,
"Сахар Чайкофский белый кристаллический свекловичный категории экстра, 750г",144.99,,
"Смесь для выпечки Этоново Банановые капкейки безглютеновая, 154г",249.0,359.99,31.0
"Смесь для выпечки Этоново Хлеб с конопляной мукой для сэндвичей безглютеновая, 224г",169.0,239.99,30.0
"Сахарозаменитель Milford Suss с дозатором 650 таблеток, 39г",189.99,,
"Сахар Чайкофский рафинад, 500г",67.99,,
"Энергетический напиток Red Bull Ред Булл, 473мл",199.99,,
"Напиток безалкогольный Gorilla личи-груша сильногазированный, 450мл",82.99,105.0,21.0
"Напиток безалкогольный Flash Up Ultra Energy энергетический газированный, 450 мл",59.9,79.9,25.0
"Энергетик E-ON Black Power Original безалкогольный газированный, 450мл",79.99,99.9,20.0
"Энергетик Burn оригинальный безалкогольный газированный, 449мл",139.9,,
"Сахар Мистраль тростниковый нерафинированный, 900г",299.99,,
"Энергетический напиток Red Bull Ред Булл без сахара, 250мл",144.99,,
"Энергетик Tornado Storm безалкогольный газированный, 450мл",69.99,,
"Энергетический напиток Black Monster Energy, 449мл",119.99,,
"Напиток безалкогольный Gorilla манго кокос тонизирующий пастеризованный сильногазированный, 450мл",82.99,99.99,17.0
"Энергетик Tornado Bubble безалкогольный газированный, 450мл",69.99,,
"Энергетический напиток Red Bull Ред Булл, 355мл",169.99,,
"Энергетический напиток Adrenaline Rush, 250мл",75.99,,
"Энергетический напиток Red Bull Ред Булл, 250мл",139.99,,
"Энергетик Flash Up Energy безалкогольный газированный, 500мл",55.9,65.9,15.0
"Энергетик Tornado Сoconut безалкогольный газированный, 450мл",69.99,,
"Напиток безалкогольный Gorilla Пауэр чай со вкусом персика пастеризованный негазированный, 450мл",82.99,99.99,17.0
"Энергетический напиток Black Monster The Doctor, 449мл",134.9,,
"Сахар Маркет Перекрёсток тростниковый нерафинированный кристаллический, 1кг",299.99,,
"Энергетик Gorilla Orange безалкогольный газированный, 450мл",82.99,99.99,17.0
"Печенье Юбилейное Традиционное витаминизированное, 134г",45.99,,
"Печенье Юбилейное Традиционное витаминизированное, 112г",26.99,39.99,33.0
"Энергетик Flash Up Energy ягодный микс безалкогольный газированный, 450мл",59.9,73.9,19.0
"Напиток безалкогольный Lifeline лимон негазированный, 500мл",49.99,69.9,28.0
"Напиток газированный Sprite Лайм и Мята, 900мл",99.99,,
"Напиток Gorilla Power Tea Lemon, 0.45л",82.99,99.99,17.0
"Энергетик Gorilla Mint безалкогольный газированный, 450мл",82.99,99.99,17.0
"Печенье Юбилейное молочное витаминизированное, 112г",26.99,39.99,33.0
"Энергетик Gorilla безалкогольный газированный, 450мл",82.99,99.99,17.0
"Энергетик Flash Up Energy безалкогольный газированный, 450мл",59.9,73.9,19.0
"Напиток газированный Coca-Cola Zero, 500мл",79.99,,
"Сахар Еврозлак песок, 750г",149.99,,
"Энергетик Burn Dark Energy безалкогольный газированный, 449мл",99.99,139.99,29.0
"Напиток газированный Pepsi Max, 1.5л",129.99,,
"Соль поваренная пищевая мелкая, 1кг",16.9,,
"Чипсы Lays с солью, 81г",114.99,,
"Соль Экстра йодированная выварочная, 500г",65.99,,
"Соль Salina каменная поваренная пищевая помол №1, 1кг",31.99,,
"Соль Экстра выварочная пищевая, 500г",67.99,,
"Соль Setra йодированная мелкая, 500г",77.99,,
"Соль Илецкая поваренная пищевая высшего сорта помол 1, 500г",69.99,,
"Соль Setra йодированная мелкая, 250г",104.99,,
"Крендельки Пр!ст с солью, 100г",25.99,,
"Соль Валетек пищевая с пониженным содержанием натрия-калий-магний-йод, 350г",65.99,,
"Соль Kotanyi морская, 92г",259.99,,
"Соль поваренная пищевая крупная, 1кг",12.9,,
"Соль Илецкая поваренная пищевая высшего сорта помол 1, 180г",51.99,,
"Соль 4Life морская йодированная пищевая мелкая, 250г",99.99,,
"Соль 4life морская атлантическая йодированная пищевая мелкая, 500г",199.99,,
"Соль Маркет Перекрёсток Адыгейская Абадзехская поваренная пищевая, 300г",89.99,,
"Соль 4Life морская йодированная пищевая мелкая, 1кг",99.99,,
"Соль Маркет Перекрёсток морская йодированная поваренная пищевая, 500г",79.9,,
"Соль Четверговая Чёрная поваренная пищевая, 140г",114.99,,
"Соль Setra йодированная пищевая крупная, 500г",99.99,,
"Соль Вкусная Соль 7 Блюд с пряностями и овощами, 400г",95.99,,
"Соль 4Life гималайская розовая пищевая мелкая, 500г",109.99,,
"Соль Вкусная Соль с чесноком-зеленью-пряностями-овощами, 400г",99.99,,
"Соль Маркет Перекрёсток Адыгейская Бжедугская поваренная пищевая, 300г",85.99,,
"Соль Волшебное Дерево морская с добавками, 380г",369.99,,
"Соль Spasskiy копчёная на ольхе пищевая, 115г",289.0,,
"Соль Spasskiy копчёная с розмарином и чесноком пищевая, 90г",389.99,,
"Сок Добрый томатный с солью, 2л",189.99,259.99,27.0
"Соль Mareman Итальянская морская с томатом и базиликом поваренная пищевая, 140г",129.99,,
"Соль Маркет Перекрёсток с грузинскими травами традиционная пищевая, 200г",179.9,,
"Соль Маркет Перекрёсток пищевая универсальная с грузинскими травами, 200г",179.9,,
"Сок Добрый томатный с сахаром и солью, 330мл",49.99,69.99,29.0
"Чипсы картофельные соломкой Pomsticks с солью, 100г",139.99,,
"Сок Пр!ст томатный с мякотью с солью и сахаром, 950мл",65.99,,
"Соль Finish специальная, 1.5кг",279.99,,
"Чипсы картофельные Lay's с солью, 140г",144.99,169.99,15.0
"Крекер Пр!ст Смайл с солью, 200г",41.99,,
"Крекер Tuc Original с солью, 100г",49.99,83.99,40.0
"Чипсы Хрустящий Картофель с солью, 160г",136.9,,
"Чипсы Хрустящий Картофель с солью, 70г",71.99,,
"Сок Дары Кубани томатный с мякотью восстановленный с солью и сахаром, 1л",79.99,99.99,20.0
"Крекер Любятово Янтарный с солью, 204г",89.99,,
"Чипсы картофельные Lorenz Naturals Классические с солью, 100г",99.99,154.99,35.0
"Перец жгучий смешанный, 100г",119.9,,
"Перец красный сладкий, кг",269.9,,
"Перец зелёный жгучий, 100г",119.9,,
"Перец жёлтый сладкий, кг",279.9,,
"Перец чёрный Kotanyi в мельнице, 36г",119.99,299.99,60.0
"Перец чёрный Пр!ст молотый, 15г",9.9,,
"Перец чёрный Kotanyi молотый, 20г",69.99,,
"Перец чёрный Пр!ст горошком, 15г",10.9,,
"Перец чёрный Kotanyi горошком, 20г",69.99,,
"Перец душистый Kotanyi горошком, 15г",67.99,,
"Перец кайенский Kotanyi чили молотый, 25г",67.99,,
"Перец красный Пр!ст молотый, 15г",19.99,,
"Перец чёрный Маркет Перекрёсток горошком, 18г",59.99,,
"Перец Кайенский Маркет Перекрёсток чили молотый, 18г",49.99,57.99,14.0
"Перец чёрный Kotanyi горошком, 70г",199.99,,
"Перец чёрный Маркет Перекрёсток молотый, 18г",34.99,61.99,44.0
"Смесь перцев Kotanyi дроблёная, 12г",69.99,,
"Приправа Kotanyi 4 перца, 20г",67.99,,
"Перец чёрный Маркет Перекрёсток, 50г",229.99,,
"Приправа Kotanyi 4 перца в мельнице, 35г",299.99,,
"Приправа Pripravka техасский стейк для мяса и курицы сычуанский перец-чеснок-солод, 30г",79.99,,
"Смесь перцев Kotanyi, 35г",299.99,,
"Приправа Kotanyi чили острый в мельнице, 35г",299.99,,
"Смесь перцев Capo Di Gusto, 50г",39.99,,
"Приправа Kotanyi Curcuma с лемонграссом и зелёным перцем, 20г",91.99,,
"Приправа Маркет Перекрёсток 4 Перцагорошком, 18г",34.99,59.99,42.0
"Смесь пряностей Маркет Перекрёсток 4 перца, 45г",229.99,,
"Чипсы кукурузные Doritos Hot Corn Острый перец, 100г",119.99,,
"Приправа Маркет Перекрёсток чили-соль, 63г",219.99,,
"Сухарики Хрусteam воздушные с ржаной мукой Сладкий чили в огне, 60г",57.99,,
"Перец Fragata Халапеньо резаный, 350г",219.99,,
"Перец Дядя Ваня Чили маринованный, 340г",229.99,,
"Перец острый Лукашинские с зеленью и чесноком, 560г",219.99,,
"Перец острый Маркет Перекрёсток солёный, 500г",99.9,,
"Перец Janarat деликатесный, 720г",169.99,229.99,26.0
"Рассада Перец d9, 1 шт",49.9,,
"Семена Удачные семена Перец Подарок Молдовы, 100мг",5.99,19.9,70.0
"Сок !Deas томатный кинза-перец-чеснок, 300мл",109.99,,
"Чипсы кукурузные Lorenz Tacitos перец чили, 125г",184.99,,
"Чипсы картофельные San Carlo Piu Gusto лайм и розовый перец, 150г",349.99,,
"Детокс-сок Ideas томат-огурец-перец-лук-чеснок, 300мл",104.9,,
"Приправа Kamis Чесночный перец измельчённая, 20г",81.99,,
"Ассорти Маркет Перекресток из соленых овощей перец/чеснок/черемша, 400г",129.9,,
"Маска Compliment Naturalis Перец и Масло Усьмы разогревающая для роста волос, 500мл",449.99,,
"Перец Santa Maria апельсиновый, 300г",339.0,599.0,43.0
"Приправа Easy Food Смесь перцев, 150г",299.99,,
"Яблоки сезонные, кг",99.9,,
"Яблоки Гольден, кг",129.9,149.9,13.0
"Яблоки Гренни смит, кг",149.9,,
"Яблоки Гала, кг",159.9,,
"Яблоки Fudzi, кг",159.9,,
"Яблоки Симиренко, кг",149.9,,
"Яблоки Амброзия отборные, кг",189.9,,
"Яблоки Чемпион, 1кг",159.9,,
"Яблоки Крипс пинк отборные, кг",189.9,,
"Яблоки Ред делишес, 4шт",159.9,,
"Яблоки Грени отборные, кг",159.9,,
"Йогурт питьевой Агуша Яблоко-Груша для детского питания с 8 месяцев 2.7%, 180г",49.9,,
"Сок Я Яблоко осветленный, 970мл",149.99,,
"Сок Сады Придонья зеленое яблоко, 125мл",19.99,,
"Зефир Зелёная Линия Белёвский яблоко, 250г",119.99,139.9,14.0
"Нектар Любимый Яблоко, 950мл",85.99,,
"Сок Сады Придонья зелёное яблоко восстановленный осветлённый, 200мл",29.99,,
"Сок Я Яблоко с мякотью, 970мл",139.9,239.99,42.0
"Сок J7 Яблочный, 970мл",139.99,,
"Напиток сокосодержащий Агуша Яблоко, 300мл",53.99,,
"Творог фруктовый Агуша Яблоко-Банан 3.9% с 6 месяцев, 100г",37.99,,
"Зефир Шармэль яблоко, 255г",179.99,,
"Сок детский Агуша Яблоко осветленный, 500мл",73.99,,
"Нектар Любимый Яблоко, 1.93л",199.99,,
"Творог фруктовый Агуша Яблоко-Банан-Малина для детского питания с 6 месяцев 3.7%, 90г",38.99,,
"Чипсы Яблоков яблочные без глютена, 25г",89.99,,
"Хлебцы Агуша Яблоко-Вишня мультизлаковые мини, 30г",55.99,,
"Сок детский Агуша Яблоко-Шиповник осветленный с 5 месяцев, 200мл",45.99,,
"Пюре фруктовое Агуша Яблоко с 4 месяцев, 90г",49.99,59.99,17.0
"Йогурт Агуша фруктовый с яблоком и малиной обогащенный 8мес+ 2.6%, 180г",49.9,,
"Сок детский Агуша Персик-Яблоко с мякотью, 500мл",77.99,,
"Сок Фруктовый Сад Яблоко осветленный, 950мл",119.99,,
"Сок детский Агуша Яблоко-Вишня 20% осветленный с 5 месяцев, 200мл",45.99,,
"Хлебцы Агуша Яблоко-Банан-Груша мультизлаковые мини, 30г",55.99,,
"Напиток сокосодержащий Любимый Вишневая черешня, 950мл",85.99,,
"Напиток сокосодержащий Любимый Солнечный нектарин с мякотью, 950мл",85.99,,
"Батончик фруктовый Агуша Яблоко,клубника,хлопья, 15г",45.99,,
"Пюре Агуша яблоко-груша-банан-манго с 6 месяцев, 90г",49.99,59.99,17.0
"Сок J7 Fresh Taste Яблочный осветленный, 850мл",149.99,,
"Геркулесовая каша с яблоками медом и грецкими орехами Шеф Перекрёсток by Novikov, 230г",169.99,,
"Яблоки Выгодно фасованные, 1.5кг",159.9,,
"Гель для душа Райские яблочки, 300мл",299.99,,
"Сок Сады Придонья зелёное яблоко для детского питания, 1л",79.99,109.9,27.0
"Пюре фруктовое Агуша Яблоко-Банан для детского питания с 6 месяцев, 100г",49.99,57.99,14.0
"Пюре фруктовое Агуша Персик-Яблоко с 5 месяцев, 90г",49.99,59.99,17.0
"Пюре фруктово-молочное Агуша Яблоко-Творог-Печенье с 6 месяцев, 90г",49.99,59.99,17.0
"Яблоки Черноземья, кг",159.9,,
"Бананы, кг",94.9,,
"Бананы фасованные, кг",89.9,,
"Бананы красные, кг",249.9,,
"Банан Зелёная Линия Organic, кг",199.9,,
"Творог фруктовый Агуша Груша,Банан 3.7% с 6 месяцев, 90г",38.99,,
"Йогурт питьевой Агуша Клубника-Банан для детского питания с 8 месяцев 2.7%, 180г",49.9,,
"Чипсы банановые Пр!ст, 130г",99.9,,
"Сок Агуша яблоко-банан-клубника-арония-киви с мякотью с 8 месяцев, 200мл",47.99,,
"Творог фруктовый Агуша Банан-Яблоко-Персик 4%, 80гр",44.99,,
"Напиток сокосодержащий Любимый Волшебная сказка, 950мл",89.99,,
"Пюре фруктовое Агуша Банан с 6 месяцев, 90г",49.99,59.99,17.0
"Пюре фруктовое Агуша Яблоко-Банан-Печенье с 6 месяцев, 90г",49.99,59.99,17.0
"Сок Агуша яблоко-манго-банан с мякотью, 500мл",85.99,,
"Сок Агуша яблоко-манго-банан с мякотью с 6 месяцев, 200мл",47.99,,
"Напиток кисломолочный Имунеле for Kids Груша-Барбарис 1.5%, 100мл",34.99,,
"Пюре Агуша яблоко-банан-клубника-киви с 8 месяцев, 90г",49.99,59.99,17.0
"Продукт питьевой J7 Полезный завтрак Вишня-Банан-Яблоко-Виноград, 300мл",72.99,,
"Пюре Агуша яблоко-банан-клубника-злаки с 6 месяцев, 90г",49.99,59.99,17.0
"Творог фруктовый Агуша Засыпайка Клубника-Банан-Мелисса 3.8% с 6 месяцев, 100г",37.99,,
"Пюре фруктовое Агуша Яблоко-Черная смородина-Ежевика для детского питания с 6 месяцев, 90г",49.99,59.99,17.0
"Батончик детский Овсяный Fleur Alpine Яблоко, черника и банан, с 3 лет, 23г",104.99,,
"Пюре ФрутоНяня из яблок и бананов со сливками с 6 месяцев, 250г",69.99,89.9,22.0
"Пюре ФрутоНяня яблоко-банан с 6 месяцев, 100г",55.99,,
"Пюре ФрутоНяня из банана с йогуртом и печеньем с 6 месяцев, 250г",69.99,89.9,22.0
"Пюре фруктово-овощное Агуша Яблоко-Тыква-Персик-Банан с 6 месяцев Пауч, 90г",49.99,59.99,17.0
"Пюре ФрутоНяня яблоко-банан-груша с печеньем с 6 месяцев, 250г",69.99,89.9,22.0
"Мюсли Matti банан-шоколад, 250г",99.99,144.99,31.0
"Нектар Santal банановый, 1л",149.99,,
"Творог Мама Лама клубника-банан с 3 лет, 100г",43.99,,
"Биолакт Тёма Клубника-банан с 8 месяцев 3%, 206г",43.9,,
"Пюре Капитан Припасов яблочно-банановое с сахаром, 260г",89.99,,
"Биотворог Тёма со вкусом клубники и банана 4.2%, 100г",41.99,,
"Йогурт Растишка малина-банан с 3 лет 2.6%, 70г",43.9,,
"Десерт ФрутоНяня яблоко-банан-клубника с 7 месяцев, 90г",63.99,,
"Йогурт Растишка малина-банан 3%, 110г",33.9,,
"Продукт питьевой J7 Полезный завтрак Яблоко-Ананас-Банан-Киви-Манго, 300мл",72.99,,
"Нектар ФрутоНяня банановый с мякотью, 200мл",43.99,,
"Мюсли Ого с бананом запечённые, 350г",109.99,139.99,21.0
"Йогурт Epica питьевой вишня-банан 2.5%, 260г",75.99,,
"Бананы Naturfoods вяленые, 200г",179.99,,
"Продукт Danone творожный с грушей и бананом 3.6%, 130г",53.99,,
"Апельсины, кг",99.9,,
"Апельсины Выгодно фасованные, кг",99.99,119.9,17.0
"Апельсины Маркет Перекрёсток отборные, кг",129.9,,
"Апельсины Навелин, кг",119.9,,
"Сок Я Апельсин с мякотью, 970мл",149.99,,
"Сок J7 Апельсиновый с мякотью, 970мл",139.99,,
"Творожок Чудо Орехи-Вишня 4.5%, 100г",64.99,,
"Йогурт питьевой Чудо Грильяж с вишней 2.6%, 270г",67.99,,
"Напиток безалкогольный Fanta апельсин газированный, 900мл",99.99,,
"Нектар Фруктовый Сад Апельсин с мякотью, 950мл",119.99,,
"Нектар Я Мандарин, 970мл",149.99,,
"Напиток безалкогольный Fanta апельсин газированный, 500мл",79.9,,
"Сок J7 Fresh Taste Апельсин с мякотью, 850мл",149.99,,
"Напиток Gatorade Orange спортивный со вкусом апельсина, 500мл",149.99,,
"Сок J7 Fresh Taste Апельсин с мякотью, 300мл",54.99,67.9,19.0
"Нектар Фруктовый Сад Апельсин с мякотью, 1.93л",259.99,,
"Биойогурт BioMax Красный апельсин-Персик-Алоэ 1.5%, 270г",62.99,,
"Напиток безалкогольный Fanta апельсин газированный, 1.5л",119.9,,
"Напиток сокосодержащий Любимый Апельсиновое манго, 1.93л",199.99,,
"Напиток безалкогольный Fanta апельсин газированный, 330мл",59.9,,
"Напиток безалкогольный Fanta Апельсин сильногазированный, 500мл",79.99,,
"Сок Сады Придонья апельсиновый для детского питания, 1л",154.99,,
"Сок Goodini мандарин-апельсин восстановленный, 750мл",99.99,149.9,33.0
"Нектар Добрый апельсиновый, 2л",189.99,259.99,27.0
"Сок Santal апельсиновый, 1л",169.99,,
"Нектар Дары Кубани апельсиновый, 1л",104.99,,
"Напиток сокосодержащий Pulpy Апельсин, 900мл",89.99,119.9,25.0
"Нектар Фруктовый Сад яблоко-апельсин-груша-грейпфрут-лимон с мякотью обогащённый для детей, 950мл",119.99,,
"Нектар Пр!ст апельсиновый, 950мл",81.99,,
"Сок Jumex апельсиновый прямого отжима, 473мл",179.9,,
"Сок Ideas тыква-апельсин, 300мл",104.99,,
"Сок Swell апельсиновый для детского питания, 250мл",73.9,,
"Энергетический напиток Adrenaline Rush, 449мл",99.99,,
"Нектар J7 Тонус Легкость Апельсин-Банан с пребиотиком, 1.45л",259.99,,
"Нектар J7 Тонус Энергия Апельсин с экстрактом ацеролы, 1.45л",209.99,,
"Нектар Добрый Апельсин, 1л",129.99,,
"Сок Rich апельсиновый, 1л",129.99,189.99,32.0
"Сок Маркет Перекрёсток апельсиновый восстановленный, 1л",131.99,,
"Конфитюр Zuegg апельсиновый экстра, 330г",299.99,,
"Энергетик Adrenaline Rush безалкогольный газированный, 330мл",89.99,,
"Напиток сокосодержащий Pulpy Апельсин, 450мл",89.99,,
"Сок Rich апельсиновый, 300мл",59.99,71.9,17.0
"Сок Market Collection апельсиновый с мякотью, 1л",389.99,,
"Напиток сокосодержащий Pulpy Маракуя-Гуава-Кокос, 450мл",89.9,,
"Сок Swell апельсиновый с мякотью, 750мл",169.99,,
"Энергетик Flash up Апельсиновый ритм безалкогольный газированный, 450мл",59.9,71.9,17.0
"Сок Ideas ананас-апельсин-гранат, 1л",129.99,184.9,30.0
"Мандарины, кг",179.9,,
"Шампунь Detox и контроль жирности Заводной мандарин, 350мл",349.99,,
"Нектар Добрый апельсин-грейпфрут-мандарин-лимон-лайм, 2л",189.99,259.99,27.0
"Кондиционер для белья BioMio Мандарин концентрат, 1л",299.99,399.99,25.0
